session_id,persona,reference_query,best_prediction,best_pred_number,best_similarity,avg_similarity,ranked_predictions,all_similarities,best_sbert_similarity,avg_sbert_similarity,all_sbert_similarities
0,Academic Researcher,Using Fuzzy,fuzzy logic applications,2,0.2606,0.226,fuzzy logic applications | fuzzy function approximators | fuzzy systems function approximation | function approximators in fuzzy logic | fuzzy systems types and architectures,P1=0.1943(Rank4) | P2=0.2606(Rank1) | P3=0.1943(Rank5) | P4=0.2203(Rank3) | P5=0.2606(Rank2),0.805,0.6797,P1=0.6388 | P2=0.805 | P3=0.6476 | P4=0.615 | P5=0.6922
170,Student Researcher,intouchables disability,disability cinema,1,0.3361,0.2676,disability cinema | disability representation movies | disability film studies | disability education strategies | disability representation in cinema,P1=0.3361(Rank1) | P2=0.2606(Rank2) | P3=0.2606(Rank3) | P4=0.2606(Rank4) | P5=0.2203(Rank5),0.5162,0.4682,P1=0.441 | P2=0.5162 | P3=0.511 | P4=0.408 | P5=0.4646
171,Sustainability & Climate Researcher,plastic waste marine animals,marine plastic waste reduction strategies,2,0.5101,0.1992,marine plastic waste reduction strategies | reduced plastic alternatives | sustainable alternatives plastic | ocean plastic cleanup solutions | bioremediation strategies,P1=0.1708(Rank2) | P2=0.5101(Rank1) | P3=0.0(Rank5) | P4=0.1444(Rank4) | P5=0.1708(Rank3),0.7732,0.5558,P1=0.5449 | P2=0.7732 | P3=0.24 | P4=0.6398 | P5=0.581
172,Student Researcher,origin of life on Earth,origin of life theory,4,0.5101,0.2616,origin of life theory | origin life studies | life origins in earth | onset origin biology | biology evolution genetics,P1=0.0(Rank5) | P2=0.3563(Rank2) | P3=0.1506(Rank4) | P4=0.5101(Rank1) | P5=0.2912(Rank3),0.956,0.6308,P1=0.3633 | P2=0.6821 | P3=0.4273 | P4=0.7255 | P5=0.956
173,Student Researcher,influence of marketing strategies on the career choiches of abm strand students,marketing influence on abm strand students,2,0.5246,0.2434,marketing influence on abm strand students | marketing strategies for career development | marketing strategy careers abm | marketing career development terms | student career choices marketing influences,P1=0.1617(Rank3) | P2=0.5246(Rank1) | P3=0.1617(Rank4) | P4=0.1401(Rank5) | P5=0.2288(Rank2),0.8749,0.7692,P1=0.773 | P2=0.8749 | P3=0.6688 | P4=0.7836 | P5=0.7459
174,Academic Researcher,Improved Decoding Algorithms of LDPC Codes Based on Reliability Metrics of Variable Nodes.,reliability metrics ldpc coding,2,0.2603,0.1859,reliability metrics ldpc coding | ldpc coding reliability metrics | short decoding algorithms | ldpc error correction metrics | check sum variation patterns ldpc,P1=0.1907(Rank3) | P2=0.2603(Rank1) | P3=0.2603(Rank2) | P4=0.1558(Rank4) | P5=0.0626(Rank5),0.8391,0.652,P1=0.5016 | P2=0.8391 | P3=0.8273 | P4=0.6153 | P5=0.4769
175,Sustainability & Climate Researcher,Philippines Republika ng Pilipinas Palawan heavy metals in soil,heavy metals philippines soil contamination,3,0.4393,0.3348,heavy metals philippines soil contamination | heavy metals pollution philippines | heavy metals pollution in asia | heavy metals Philippines environmental impact | heavy metal toxicity soil philippines,P1=0.2953(Rank3) | P2=0.2953(Rank4) | P3=0.4393(Rank1) | P4=0.349(Rank2) | P5=0.2953(Rank5),0.8681,0.7742,P1=0.5962 | P2=0.7875 | P3=0.8681 | P4=0.7874 | P5=0.832
176,Engineering & Tech Developer,uav for rescue operations,uav rescue technology implementation,4,0.3361,0.1975,uav rescue technology implementation | uav design specs rescue | uav technology applications | drone tech rescue ops | drone navigation,P1=0.1708(Rank3) | P2=0.0(Rank5) | P3=0.1444(Rank4) | P4=0.3361(Rank1) | P5=0.3361(Rank2),0.9058,0.71,P1=0.7232 | P2=0.4992 | P3=0.7296 | P4=0.9058 | P5=0.692
177,Student Researcher,The comparison between Chinese and foreigh literature,chinese literature analysis,4,0.2911,0.1496,chinese literature analysis | chinese literature studies comparative analysis | chinese authors works | chinese literary works | english literary works,P1=0.2061(Rank2) | P2=0.1254(Rank3) | P3=0.1254(Rank4) | P4=0.2911(Rank1) | P5=0.0(Rank5),0.6734,0.5681,P1=0.6734 | P2=0.5082 | P3=0.6084 | P4=0.6558 | P5=0.3946
178,Engineering & Tech Developer,Gray scale for color change,color change for stain removal methods,4,0.3809,0.19,color change for stain removal methods | color change stain processing | color grading software | color changing stain removers | stain removal methods,P1=0.2912(Rank2) | P2=0.0(Rank5) | P3=0.1274(Rank4) | P4=0.3809(Rank1) | P5=0.1506(Rank3),0.4445,0.3581,P1=0.4132 | P2=0.1393 | P3=0.382 | P4=0.4445 | P5=0.4113
179,Engineering & Tech Developer,Automated watering system in gardens,automated watering system designs,3,0.5101,0.2999,automated watering system designs | automated watering systems for small gardens | watering system designs | watering systems for small gardens | smart irrigation sensor reviews,P1=0.3809(Rank2) | P2=0.2523(Rank4) | P3=0.5101(Rank1) | P4=0.0(Rank5) | P5=0.3563(Rank3),0.9694,0.8025,P1=0.9694 | P2=0.8524 | P3=0.8871 | P4=0.5392 | P5=0.7646
180,Engineering & Tech Developer,measure smartphone distortion  computer vision,computer vision distortion correction methods,1,0.4316,0.3172,computer vision distortion correction methods | measure smartphone distortion different lenses | computer vision distortion correction techniques | smartphone distortion measurement techniques | camera lens optimization,P1=0.4316(Rank1) | P2=0.2912(Rank4) | P3=0.4316(Rank2) | P4=0.4316(Rank3) | P5=0.0(Rank5),0.8783,0.6616,P1=0.6226 | P2=0.8783 | P3=0.8584 | P4=0.6099 | P5=0.3386
181,Engineering & Tech Developer,heat shock,heat shock proteins,5,0.7093,0.2291,heat shock proteins | heat treatment techniques | effect of heat on metal properties | thermal engineering materials | thermal stress analysis,P1=0.0(Rank4) | P2=0.2606(Rank2) | P3=0.0(Rank5) | P4=0.1758(Rank3) | P5=0.7093(Rank1),0.6827,0.461,P1=0.357 | P2=0.4863 | P3=0.4487 | P4=0.3305 | P5=0.6827
